"SITE_ID","YEAR","SEASON","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"KNZ184","2011.0","SP","03/01/2011 09:00:00","05/31/2011 08:00:00","0.773","2.236","2.01","1.086","3.079","0.85","1.214","0.153","0.069","0.129","0.052"
"OXF122","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","1.747","3.022","0.402","1.26","1.642","1.019","0.297","0.064","0.067","0.101","0.034"
"SPD111","2005.0","SU","05/31/2005 09:00:00","08/30/2005 08:00:00","","","","","","","","","","",""
"COW137","2007.0","FA","09/04/2007 09:00:00","12/04/2007 08:00:00","0.928","3.691","0.165","0.58","0.735","1.188","0.105","0.103","0.026","0.056","0.035"
"CDZ171","2006.0","FA","08/29/2006 09:00:00","11/28/2006 08:00:00","5.095","3.919","0.73","1.509","2.215","1.454","0.275","0.043","0.034","0.075","0.041"
"DEN417","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","0.322","0.78","0.05","0.184","0.231","0.252","0.029","0.016","0.008","0.042","0.016"
"QAK172","2010.0","FA","08/31/2010 09:00:00","11/30/2010 08:00:00","7.263","2.531","1.009","1.484","2.469","0.946","0.595","0.048","0.103","0.078","0.036"
"PET427","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","1.131","1.184","0.358","1.242","1.58","0.399","0.342","0.122","0.047","0.062","0.047"
"STK138","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.636","1.548","0.62","1.04","1.643","0.542","0.714","0.023","0.192","0.078","0.033"
"PSU106","2009.0","FA","09/01/2009 09:00:00","12/01/2009 08:00:00","2.65","2.084","0.851","0.725","1.564","0.83","0.256","0.111","0.039","0.077","0.081"
"MCK231","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.662","1.296","0.945","0.949","1.879","0.599","0.279","0.093","0.044","0.069","0.038"
"PND165","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.134","0.341","0.179","0.183","0.359","0.117","0.135","0.038","0.021","0.02","0.019"
"ROM406","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","0.26","0.788","0.375","0.55","0.916","0.294","0.123","0.026","0.024","0.022","0.013"
"PET427","2005.0","WI","11/30/2004 09:00:00","03/01/2005 08:00:00","1.628","0.456","0.165","0.804","0.956","0.18","0.053","0.02","0.007","0.01","0.016"
"ACA416","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","1.567","2.573","0.3","1.18","1.461","0.654","0.061","0.27","0.041","0.048",""
"ARE128","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","1.614","1.791","1.112","1.369","2.46","0.787","0.279","0.141","0.05","0.055","0.04"
"PED108","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.209","0.984","0.123","0.44","0.556","0.343","0.068","0.088","0.023","0.061","0.066"
"CTH110","2009.0","WI","12/02/2008 09:00:00","03/03/2009 08:00:00","5.953","2.076","1.311","1.186","2.477","0.941","0.138","0.208","0.026","0.054","0.089"
"ABT147","2015.0","SP","03/03/2015 09:00:00","06/02/2015 08:00:00","0.735","1.134","0.767","0.862","1.615","0.399","0.128","0.305","0.05","0.052","0.157"
"ALH157","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.723","1.503","0.512","1.125","1.619","0.513","0.538","0.074","0.074","0.105","0.037"
"PED108","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.495","0.978","0.441","0.578","1.01","0.363","0.121","0.164","0.036","0.06","0.09"
"CKT136","2018.0","FA","09/04/2018 09:00:00","12/04/2018 08:00:00","0.424","1.062","0.47","0.606","1.066","0.446","0.147","0.043","0.025","0.049","0.034"
"COW137","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","0.268","1.421","0.172","0.333","0.5","0.484","0.098","0.078","0.021","0.059","0.051"
"GLR468","2014.0","FA","09/02/2014 09:00:00","12/02/2014 08:00:00","0.174","0.334","0.143","0.159","0.3","0.127","0.076","0.037","0.016","0.045","0.019"
"LAV410","2005.0","FA","08/30/2005 09:00:00","11/29/2005 08:00:00","","","","","","","","","","",""
"ARE128","2015.0","FA","09/01/2015 09:00:00","12/01/2015 08:00:00","1.55","1.383","0.933","0.971","1.889","0.558","0.236","0.283","0.061","0.056","0.295"
"SND152","2011.0","SP","03/01/2011 09:00:00","05/31/2011 08:00:00","1.951","3.268","0.927","1.055","1.965","1.199","0.228","0.31","0.062","0.109","0.093"
"OXF122","2011.0","SP","03/01/2011 09:00:00","05/31/2011 08:00:00","3.894","2.742","1.303","1.705","2.982","1.185","0.274","0.083","0.057","0.07","0.037"
"KNZ184","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","0.773","1.376","3.023","0.447","3.463","0.983","1.083","0.078","0.043","0.056","0.081"
"GLR468","2011.0","SP","03/01/2011 09:00:00","05/31/2011 08:00:00","0.163","0.676","0.113","0.258","0.366","0.246","0.061","0.03","0.014","0.021","0.017"
"PAR107","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.432","2.174","0.152","0.567","0.71","0.681","0.242","0.034","0.031","0.102","0.032"
"MOR409","2010.0","FA","08/31/2010 09:00:00","11/30/2010 08:00:00","0.109","0.449","0.122","0.077","0.198","0.128","0.017","0.112","0.017","0.051","0.092"
"JOT403","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","0.528","1.198","1.124","2.079","3.17","0.499","0.309","0.208","0.053","0.049",""
"IRL141","2016.0","SU","05/31/2016 09:00:00","08/30/2016 08:00:00","0.743","1.785","1.281","0.258","1.535","0.328","0.262","1.999","0.263","0.131","3.047"
"VPI120","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.57","1.084","0.572","0.703","1.264","0.411","0.223","0.11","0.041","0.061","0.054"
"SEK430","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","0.346","0.613","3.231","1.1","4.314","1.107","0.131","0.101","0.024","0.071","0.034"
"DEN417","2014.0","SP","03/04/2014 09:00:00","06/03/2014 08:00:00","0.274","0.581","0.064","0.093","0.155","0.196","0.041","0.036","0.012","0.019","0.027"
"GTH161","2007.0","FA","09/04/2007 09:00:00","12/04/2007 08:00:00","0.17","0.441","0.126","0.208","0.33","0.182","0.076","0.015","0.011","0.025","0.013"
"CNT169","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.145","0.442","0.133","0.372","0.499","0.181","0.139","0.029","0.019","0.033","0.012"
"MCK131","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.446","1.598","0.3","0.951","1.236","0.59","0.276","0.04","0.043","0.083","0.032"
"GTH161","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.092","0.141","0.05","0.119","0.167","0.057","0.026","0.009","0.004","0.008","0.013"
"ANA115","1999.0","SP","03/02/1999 09:00:00","06/01/1999 08:00:00","5.352","2.915","1.734","2.043","3.745","1.217","","","","",""
"BVL130","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","6.43","2.73","4.316","1.299","5.594","2.053","0.226","0.143","0.038","0.044","0.137"
"DEN417","2004.0","SP","03/02/2004 09:00:00","06/01/2004 08:00:00","0.382","0.445","0.076","0.077","0.151","0.134","0.032","0.041","0.015","0.014","0.041"
"BEL116","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.414","1.271","0.317","1.104","1.404","0.385","0.194","0.153","0.051","0.09","0.045"
"UVL124","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","1.64","1.69","2.215","0.728","2.931","1.102","0.373","0.037","0.067","0.072","0.051"
"EVE419","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.292","1.567","0.865","0.263","1.124","0.215","0.246","1.02","0.153","0.138","1.254"
"VIN140","2006.0","WI","11/29/2005 09:00:00","02/28/2006 08:00:00","12.173","3.047","3.461","1.164","4.606","1.731","0.455","0.142","0.051","0.06","0.144"
"HOX148","2007.0","FA","09/04/2007 09:00:00","12/04/2007 08:00:00","2.106","2.41","1.139","0.814","1.94","1.01","0.253","0.049","0.054","0.055","0.042"
"STK138","2007.0","SU","05/29/2007 09:00:00","09/04/2007 08:00:00","1.956","3.462","0.882","1.773","2.627","1.152","0.774","0.04","0.225","0.098","0.033"
"BEL116","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","6.835","4.416","0.743","1.786","2.501","1.468","0.308","0.209","0.069","0.074",""
"BUF603","2016.0","SP","03/01/2016 09:00:00","05/31/2016 08:00:00","0.217","0.425","0.121","0.314","0.43","0.161","0.097","0.02","0.015","0.017","0.014"
"PED108","1999.0","SU","06/01/1999 09:00:00","08/31/1999 08:00:00","3.507","8.423","0.116","2.471","2.548","2.304","","","","",""
"VOY413","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","0.246","0.741","0.117","0.279","0.391","0.242","0.169","0.013","0.034","0.073","0.016"
"SND152","2019.0","WI","12/04/2018 09:00:00","02/26/2019 08:00:00","0.523","0.931","1.249","0.463","1.705","0.645","0.138","0.114","0.026","0.057","0.121"
"MEV405","2004.0","FA","08/31/2004 09:00:00","11/30/2004 08:00:00","0.613","0.65","0.175","0.881","1.042","0.243","0.101","0.034","0.014","0.016","0.018"
"CDZ171","2004.0","SP","03/02/2004 09:00:00","06/01/2004 08:00:00","4.289","3.27","1.267","1.688","2.928","1.207","0.287","0.224","0.059","0.073","0.053"
"MOR409","2002.0","FA","09/03/2002 09:00:00","12/03/2002 08:00:00","0.305","0.461","0.118","0.333","0.446","0.175","0.031","0.052","0.009","0.032",""
"ASH135","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","0.678","1.062","0.381","0.253","0.63","0.412","0.056","0.129","0.02","0.061","0.116"
"VPI120","2001.0","WI","11/28/2000 09:00:00","02/27/2001 08:00:00","9.83","2.416","0.764","2.279","3.006","0.839","0.23","0.096","0.022","0.042",""
"DEV412","2006.0","SU","05/30/2006 09:00:00","08/29/2006 08:00:00","0.598","1.371","0.445","1.361","1.784","0.461","0.366","0.19","0.065","0.093","0.053"
"BFT142","2010.0","SU","06/01/2010 09:00:00","08/31/2010 08:00:00","0.923","3.036","0.873","0.668","1.53","0.6","0.246","1.122","0.151","0.103","0.913"
"CTH110","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","0.408","0.896","0.769","0.676","1.435","0.431","0.198","0.1","0.034","0.049","0.056"
"CHE185","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","2.983","2.596","3.65","1.101","4.733","1.829","0.292","0.11","0.03","0.072","0.061"
"YOS404","2005.0","FA","08/30/2005 09:00:00","11/29/2005 08:00:00","0.403","0.67","0.34","0.982","1.306","0.264","0.083","0.095","0.025","0.042","0.015"
"BEL116","2003.0","SP","03/04/2003 09:00:00","06/03/2003 08:00:00","7.161","4.358","0.916","2.187","3.068","1.451","0.197","0.317","0.065","0.068",""
"THR422","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","0.842","1.404","0.699","0.591","1.281","0.564","0.206","0.044","0.039","0.03","0.017"
"KIC003","2018.0","FA","09/04/2018 09:00:00","12/04/2018 08:00:00","","","","","","","","","","",""
"ROM406","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","0.485","0.887","0.254","0.923","1.163","0.356","0.193","0.031","0.023","0.056",""
"GRC474","2019.0","SU","06/04/2019 09:00:00","09/03/2019 08:00:00","0.185","0.632","0.262","0.615","0.867","0.216","0.192","0.125","0.035","0.036","0.063"
"FOR605","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.196","0.477","0.248","0.399","0.64","0.191","0.135","0.017","0.02","0.02","0.016"
"KNZ184","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.715","2.345","0.872","1.15","2.004","0.598","2.186","0.133","0.072","0.114","0.027"
"MCK231","2009.0","SU","06/02/2009 09:00:00","09/01/2009 08:00:00","1.902","4.372","0.345","1.375","1.698","1.515","0.273","0.045","0.045","0.092","0.033"
"LAV410","2018.0","SP","02/27/2018 09:00:00","05/29/2018 08:00:00","0.155","0.292","0.165","0.124","0.287","0.093","0.062","0.076","0.019","0.023","0.033"
"CVL151","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","2.554","2.177","0.882","1.516","2.374","0.833","0.162","0.192","0.032","0.066",""
"ABT147","2003.0","FA","09/02/2003 09:00:00","12/02/2003 08:00:00","3.116","2.475","0.787","1.403","2.168","0.85","0.098","0.292","0.048","0.059","0.179"
"GRB411","2003.0","SU","06/03/2003 09:00:00","09/02/2003 08:00:00","0.306","0.882","0.222","0.912","1.12","0.335","0.256","0.057","0.028","0.036",""
"PRK134","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","0.803","2.58","0.498","0.855","1.34","0.95","0.36","0.03","0.069","0.059",""
"WSP144","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","3.378","2.649","1.295","1.664","2.933","0.982","0.201","0.338","0.067","0.078","0.143"
"GAS153","2004.0","FA","08/31/2004 09:00:00","11/30/2004 08:00:00","4.205","5.712","0.263","1.603","1.841","1.831","0.123","0.146","0.032","0.08","0.035"
"MKG113","2013.0","SP","02/26/2013 09:00:00","06/04/2013 08:00:00","2.323","1.978","0.756","1.017","1.757","0.712","0.284","0.145","0.042","0.055","0.053"
"ARE128","2005.0","SP","03/01/2005 09:00:00","05/31/2005 08:00:00","10.165","3.968","1.827","2.891","4.672","1.757","0.315","0.107","0.048","0.054","0.035"
"PRK134","2008.0","SP","03/04/2008 09:00:00","06/03/2008 08:00:00","1.304","1.65","1.192","0.698","1.879","0.868","0.17","0.047","0.046","0.045","0.045"
"GTH161","2000.0","SP","02/29/2000 09:00:00","05/30/2000 08:00:00","0.158","0.525","0.196","0.235","0.428","0.188","0.149","0.034","0.019","0.022",""
"EGB181","2019.0","FA","09/03/2019 09:00:00","12/03/2019 08:00:00","0.504","0.746","1.128","0.427","1.548","0.447","0.282","0.061","0.042","0.042","0.079"
"CKT136","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.612","1.303","0.378","0.756","1.121","0.49","0.21","0.054","0.032","0.054","0.035"
"CVL151","2005.0","SP","03/01/2005 09:00:00","05/31/2005 08:00:00","2.25","3.951","0.507","1.614","2.095","1.325","0.232","0.123","0.04","0.094","0.038"
"WSP144","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","5.534","6.797","0.309","3.978","4.224","2.159","0.25","0.206","0.067","0.102",""
"CVL151","2000.0","SP","02/29/2000 09:00:00","05/30/2000 08:00:00","1.98","3.822","0.647","1.828","2.446","1.229","0.206","0.284","0.055","0.101",""
"GTH161","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.168","0.188","0.045","0.127","0.17","0.074","0.024","0.008","0.004","0.006","0.013"
"CDZ171","2003.0","FA","09/02/2003 09:00:00","12/02/2003 08:00:00","5.815","4.23","0.716","1.929","2.615","1.349","0.384","0.095","0.05","0.081","0.035"
"CAD150","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","1.156","1.515","0.819","0.703","1.511","0.669","0.192","0.113","0.026","0.064","0.048"
"CAD150","1999.0","SP","03/02/1999 09:00:00","06/01/1999 08:00:00","1.232","3.048","0.442","1.178","1.601","0.947","","","","",""
"CND125","2000.0","FA","08/29/2000 09:00:00","11/28/2000 08:00:00","5.312","4.699","0.759","1.928","2.656","1.674","0.144","0.394","0.05","0.093",""
"MEV405","2002.0","FA","09/03/2002 09:00:00","12/03/2002 08:00:00","0.852","0.691","0.346","0.819","1.152","0.265","0.526","0.024","0.023","0.026",""
"CKT136","2019.0","FA","09/03/2019 09:00:00","12/03/2019 08:00:00","0.459","0.999","0.36","0.645","0.995","0.397","0.184","0.059","0.027","0.044","0.033"
"VOY413","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.155","0.377","0.084","0.226","0.307","0.164","0.153","0.011","0.037","0.048","0.016"
"PED108","2012.0","SP","02/28/2012 09:00:00","05/29/2012 08:00:00","0.788","2.023","0.361","0.907","1.253","0.659","0.13","0.214","0.045","0.071","0.093"
"KNZ184","2012.0","FA","09/04/2012 09:00:00","12/04/2012 08:00:00","0.68","1.469","1.552","0.614","2.156","0.413","2.405","0.057","0.068","0.096","0.028"
"VOY413","2011.0","FA","08/30/2011 09:00:00","11/29/2011 08:00:00","0.428","0.981","0.655","0.339","0.989","0.464","0.319","0.028","0.051","0.055","0.021"
"GRB411","2016.0","FA","08/30/2016 09:00:00","11/29/2016 08:00:00","0.235","0.379","0.151","0.277","0.423","0.154","0.259","0.039","0.025","0.021","0.02"
"DEN417","2012.0","WI","11/29/2011 09:00:00","02/28/2012 08:00:00","0.743","0.278","0.105","0.054","0.158","0.068","0.015","0.099","0.017","0.009","0.097"
"CHA467","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","0.563","1.449","0.379","1.234","1.594","0.48","0.241","0.109","0.03","0.064",""
"PIN414","2008.0","SU","06/03/2008 09:00:00","09/02/2008 08:00:00","0.535","1.414","0.849","1.213","2.042","0.24","0.217","0.755","0.125","0.185","0.37"
"GAS153","2008.0","SP","03/04/2008 09:00:00","06/03/2008 08:00:00","4.23","3.994","0.4","1.537","1.912","1.201","0.171","0.266","0.056","0.09","0.043"
"MKG113","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","3.715","2.204","2.017","0.821","2.826","1.228","0.176","0.173","0.027","0.052","0.108"
"CAD150","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.398","1.614","0.327","0.691","1.006","0.38","0.206","0.234","0.062","0.117","0.046"
"PND165","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.173","0.436","0.113","0.354","0.462","0.21","0.139","0.03","0.021","0.055","0.015"
"SAL133","2002.0","SU","06/04/2002 09:00:00","09/03/2002 08:00:00","4.714","7.235","0.63","4.356","4.917","2.356","0.579","0.072","0.15","0.144",""
"ESP127","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","0.359","1.042","0.43","0.666","1.085","0.386","0.185","0.103","0.032","0.065","0.034"
"WFM105","2013.0","SU","06/04/2013 09:00:00","09/03/2013 08:00:00","0.372","1.544","0.137","0.562","0.689","0.55","0.118","0.019","0.019","0.044","0.016"
"SHN418","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","3.312","1.748","0.891","0.897","1.774","0.836","0.093","0.056","0.013","0.032","0.038"
"HWF187","2011.0","SU","05/31/2011 09:00:00","08/30/2011 08:00:00","0.261","1.386","0.061","0.26","0.317","0.479","0.068","0.014","0.014","0.063","0.032"
"BFT142","2014.0","SU","06/03/2014 09:00:00","09/02/2014 08:00:00","0.553","2.004","0.722","0.414","1.129","0.419","0.155","0.884","0.121","0.095","0.707"
"CND125","2013.0","FA","09/03/2013 09:00:00","12/03/2013 08:00:00","0.654","1.845","0.468","0.806","1.262","0.681","0.099","0.194","0.041","0.078","0.076"
"WSP144","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","4.727","5.671","0.35","3.194","3.493","1.878","0.159","0.149","0.048","0.084",""
"VIN140","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","8.372","3.957","2.482","1.647","4.102","1.571","1.116","0.121","0.101","0.084","0.066"
"QAK172","2007.0","SP","02/27/2007 09:00:00","05/29/2007 08:00:00","11.447","4.313","1.002","2.426","3.389","1.493","0.468","0.103","0.089","0.063","0.041"
"GAS153","2009.0","FA","09/01/2009 09:00:00","12/01/2009 08:00:00","1.952","2.501","0.328","0.745","1.061","0.851","0.139","0.122","0.026","0.098","0.056"
"COW137","2015.0","WI","12/02/2014 09:00:00","03/03/2015 08:00:00","0.437","0.907","0.221","0.353","0.568","0.356","0.047","0.043","0.01","0.04","0.034"
"BWR139","2013.0","WI","12/04/2012 09:00:00","02/26/2013 08:00:00","2.528","2.123","2.338","0.527","2.857","1.371","0.095","0.223","0.033","0.055","0.17"
"GRB411","2007.0","WI","11/28/2006 09:00:00","02/27/2007 08:00:00","0.129","0.262","0.158","0.254","0.408","0.102","0.059","0.066","0.013","0.009","0.086"
"VOY413","2000.0","WI","11/30/1999 09:00:00","02/29/2000 08:00:00","1.651","1.339","1.736","0.703","2.359","0.787","","","","",""
"CTH110","2002.0","WI","12/04/2001 09:00:00","02/26/2002 08:00:00","9.937","2.158","1.305","2.173","3.443","1.009","0.127","0.124","0.021","0.033",""
"SND152","2017.0","WI","11/29/2016 09:00:00","02/28/2017 08:00:00","0.836","1.174","1.237","0.586","1.814","0.601","0.168","0.241","0.041","0.074","0.176"
"EVE419","2008.0","WI","12/04/2007 09:00:00","03/04/2008 08:00:00","0.63","2.041","1.208","0.316","1.519","0.214","0.301","1.679","0.223","0.129","2.164"
"CDR119","2019.0","SP","02/26/2019 09:00:00","06/04/2019 08:00:00","0.445","1.163","0.3","0.519","0.811","0.425","0.171","0.055","0.029","0.062","0.034"
"ABT147","2001.0","SU","05/29/2001 09:00:00","09/04/2001 08:00:00","2.378","4.768","0.288","2.363","2.614","1.564","0.103","0.201","0.038","0.056",""
"SUM156","2003.0","WI","12/03/2002 09:00:00","03/04/2003 08:00:00","2.033","2.587","0.442","1.095","1.52","0.654","0.102","0.373","0.052","0.075",""
"HWF187","2018.0","SU","05/29/2018 09:00:00","09/04/2018 08:00:00","0.168","0.729","0.082","0.225","0.303","0.254","0.073","0.043","0.02","0.052","0.04"
"BWR139","2011.0","WI","11/30/2010 09:00:00","03/01/2011 08:00:00","4.724","2.27","1.91","1.25","3.14","1.197","0.111","0.271","0.034","0.054","0.16"
"CDZ171","2017.0","FA","08/29/2017 09:00:00","11/28/2017 08:00:00","0.895","1.553","0.763","0.92","1.668","0.562","0.463","0.103","0.056","0.093","0.051"
"MKG113","2009.0","SP","03/03/2009 09:00:00","06/02/2009 08:00:00","4.234","2.627","0.652","1.184","1.818","0.968","0.311","0.081","0.044","0.069","0.046"
"CTH110","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","4.044","2.403","0.684","1.436","2.097","0.859","0.244","0.097","0.043","0.045","0.071"
"SAL133","2014.0","WI","12/03/2013 09:00:00","03/04/2014 08:00:00","3.626","2.172","5.064","0.437","5.494","2.137","0.271","0.196","0.055","0.066","0.186"
"MOR409","2003.0","WI","12/03/2002 09:00:00","03/04/2003 08:00:00","0.173","0.14","0.063","0.072","0.133","0.075","0.016","0.034","0.007","0.015",""
"VOY413","2006.0","SP","02/28/2006 09:00:00","05/30/2006 08:00:00","0.669","1.427","0.3","0.533","0.824","0.501","0.134","0.03","0.028","0.035","0.017"
"BEL116","2017.0","SU","05/30/2017 09:00:00","08/29/2017 08:00:00","0.41","1.298","0.274","0.993","1.251","0.433","0.192","0.107","0.043","0.084","0.051"
"CVL151","2011.0","FA","08/30/2011 09:00:00","11/29/2011 08:00:00","0.871","1.894","0.415","0.639","1.043","0.629","0.284","0.182","0.049","0.09","0.115"
"ALH157","2007.0","WI","11/28/2006 09:00:00","02/27/2007 08:00:00","5.062","1.896","3.538","0.547","4.076","1.43","0.439","0.137","0.053","0.058","0.154"
"GTH161","1999.0","SU","06/01/1999 09:00:00","08/31/1999 08:00:00","0.14","0.6","0.116","0.283","0.394","0.217","","","","",""
"SUM156","2008.0","FA","09/02/2008 09:00:00","12/02/2008 08:00:00","0.923","2.523","0.436","0.554","0.981","0.56","0.161","0.521","0.077","0.072","0.256"
"CTH110","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","10.86","2.119","1.345","2.061","3.373","0.927","0.115","0.18","0.022","0.034","0.066"
"MAC426","2004.0","WI","12/02/2003 09:00:00","03/02/2004 08:00:00","11.088","2.599","1.921","2.038","3.927","1.275","0.171","0.102","0.027","0.05","0.041"
"PNF126","2000.0","SU","05/30/2000 09:00:00","08/29/2000 08:00:00","1.888","7.463","0.096","1.667","1.737","1.747","0.112","0.063","0.026","0.063",""
"BAS601","2015.0","SU","06/02/2015 09:00:00","09/01/2015 08:00:00","0.724","0.613","0.147","0.56","0.698","0.265","0.164","0.041","0.026","0.069","0.014"
"ROM406","1999.0","SU","06/01/1999 09:00:00","08/31/1999 08:00:00","0.334","0.822","0.205","0.765","0.957","0.318","","","","",""
